"","X","State","party","fed_need","openness"
"1",1,"Alabama","red",1485.02848151391,2
"2",2,"Alaska","red",3570.43469705979,3
"3",3,"Arizona","red",1364.80958104214,4
"4",4,"Arkansas","red",1579.84914409319,1
"5",5,"California","blue",1374.00588579978,3
"6",6,"Colorado","blue",1011.68340741147,3
"7",7,"Connecticut","red",1422.5624291072,2
"8",8,"Delaware","red",1421.8257334181,1
"9",9,"District of Columbia","red",3635.4864650971,4
"10",10,"Florida","blue",1100.3463364951,1
"11",11,"Georgia","blue",1098.34759019248,4
"12",12,"Hawaii","red",1545.18587499129,3
"13",13,"Idaho","blue",1359.44309799279,3
"14",14,"Illinois","red",1258.53594518891,2
"15",15,"Indiana","blue",1148.05576357274,2
"16",16,"Iowa","blue",1237.01715121223,3
"17",17,"Kansas","blue",1232.69859367837,1
"18",18,"Kentucky","blue",1503.26075186357,4
"19",19,"Louisiana","blue",3038.99502913278,1
"20",20,"Maine","red",1935.68561523889,2
"21",21,"Maryland","blue",1312.5819870616,2
"22",22,"Massachusetts","blue",1734.88267074222,4
"23",23,"Michigan","red",1275.54370004029,1
"24",24,"Minnesota","blue",1351.50518012556,2
"25",25,"Mississippi","red",2820.99549785896,4
"26",26,"Missouri","red",1354.13911206473,4
"27",27,"Montana","red",1918.17187192244,2
"28",28,"Nebraska","blue",1316.06805753042,2
"29",29,"Nevada","blue",910.216765425168,2
"30",30,"New Hampshire","red",1239.64486308759,1
"31",31,"New Jersey","blue",1377.40599284714,2
"32",32,"New Mexico","blue",2212.12149203859,2
"33",33,"New York","blue",2229.50655708219,2
"34",34,"North Carolina","blue",1377.3451295285,2
"35",35,"North Dakota","blue",2007.68822966188,2
"36",36,"Ohio","red",1370.64200370958,1
"37",37,"Oklahoma","red",1528.64378816023,3
"38",38,"Oregon","red",1340.48023397192,2
"39",39,"Pennsylvania","red",1528.76057543152,4
"40",40,"Rhode Island","red",1999.09309096826,3
"41",41,"South Carolina","red",1330.98372449021,3
"42",42,"South Dakota","red",1608.29276829657,4
"43",43,"Tennessee","red",1468.89855970644,2
"44",44,"Texas","blue",1179.11924002986,1
"45",45,"Utah","blue",1066.77347474871,3
"46",46,"Vermont","red",2491.57099379197,1
"47",47,"Virginia","red",932.209311896508,3
"48",48,"Washington","blue",1248.01908647167,4
"49",49,"West Virginia","red",1974.77077009919,2
"50",50,"Wisconsin","red",1199.36167252353,3
"51",51,"Wyoming","red",3626.20965156497,1
